date, pm25, pm10, o3, no2, so2, co
2023/11/26, 12, 11, 20, 9, , 
2023/11/27, 14, 6, 20, 15, , 
2023/11/28, 16, 13, 18, 11, , 
2023/11/29, 27, 22, 10, 14, , 
2023/11/30, 70, 20, 12, 14, , 
2023/12/1, 50, 11, 16, 7, , 
2023/12/2, 30, , 12, , , 
2023/12/4, 75, 19, 17, 17, , 
2023/12/5, 43, 9, 15, 13, , 
2023/12/6, 24, 24, 12, 16, , 
2023/12/7, 64, 23, 5, 18, , 
2023/12/8, 70, 31, 11, 16, , 
2023/12/9, 80, 10, 29, 6, , 
2023/12/10, 14, 9, 26, 10, , 
2023/12/11, 13, 26, , 15, , 
2023/12/12, 46, 15, , 21, , 
2023/12/13, 37, 15, , 18, , 
2023/12/14, 40, 14, 9, 13, , 
2023/12/15, 45, 14, 24, 15, , 
2023/12/16, 33, 20, 16, 12, , 
2023/12/17, 39, 20, 8, 11, , 
2023/12/18, 57, 17, 14, 11, , 
2023/12/19, 53, 7, 22, 10, , 
2023/12/20, 29, 7, 23, 6, , 
2023/12/21, 5, 4, 28, 6, , 
2023/12/22, 9, 2, 28, 5, , 
2023/12/23, 5, 1, 28, 4, , 
2023/12/24, 5, 3, 26, 1, , 
2023/12/25, 5, 4, 28, 2, , 
2023/12/26, 5, 17, 18, 16, , 
2023/12/27, 29, 12, 23, 11, , 
2023/12/28, 34, 5, 26, 5, , 
2023/12/29, 15, 7, 26, 6, , 
2023/12/30, 11, 13, 29, 14, , 
2023/12/31, 26, 15, 26, 4, , 
2023/7/1, 26, 15, 37, 5, , 
2023/7/2, 29, 19, 37, 8, , 
2023/7/3, 34, 12, 33, 9, , 
2023/7/4, 29, 12, 34, 9, , 
2023/7/5, 38, 6, 35, 8, , 
2023/7/6, 14, 7, 51, 15, , 
2023/7/7, 14, 24, 66, 18, , 
2023/7/8, 56, 18, 60, 11, , 
2023/7/9, 53, 27, 44, 11, , 
2023/7/10, 67, 14, 55, 14, , 
2023/7/11, 44, 17, 42, 12, , 
2023/7/12, 51, 6, 35, 8, , 
2023/7/13, 5, 11, 43, 14, , 
2023/7/14, 16, 23, 52, 21, , 
2023/7/15, 56, 9, 31, 6, , 
2023/7/16, 36, 16, 35, 12, , 
2023/7/17, 32, 9, 43, 11, , 
2023/7/18, 14, 11, 43, 18, , 
2023/7/19, 42, 12, 42, 9, , 
2023/7/20, 40, 15, 36, 13, , 
2023/7/21, 36, 14, 41, 11, , 
2023/7/22, 32, 11, 37, 10, , 
2023/7/23, 35, 10, 31, 11, , 
2023/7/24, 39, 9, 29, 7, , 
2023/7/25, 23, 8, 33, 9, , 
2023/7/26, 19, 13, 23, 12, , 
2023/7/27, 25, 4, 19, 7, , 
2023/7/28, 28, 3, 28, 6, , 
2023/7/29, 27, 7, 26, 7, , 
2023/7/30, 19, 9, 28, 7, , 
2023/7/31, 17, 8, 26, 6, , 
2023/8/1, 28, 7, 24, 6, , 
2023/8/2, 23, 5, 28, 5, , 
2023/8/3, 23, 10, 28, 9, , 
2023/8/4, 19, 11, 35, 9, , 
2023/8/5, 27, 5, 30, 4, , 
2023/8/6, 29, 5, 28, 4, , 
2023/8/7, 8, 8, 31, 8, , 
2023/8/8, 16, 12, 28, 8, , 
2023/8/9, 40, 15, 42, 13, , 
2023/8/10, 38, 17, 45, 16, , 
2023/8/11, 47, 21, 53, 17, , 
2023/8/12, 66, 6, 31, 6, , 
2023/8/13, 27, 14, 29, 13, , 
2023/8/14, 27, 16, 26, 13, , 
2023/8/15, 44, 15, 39, 9, , 
2023/8/16, 42, 10, 39, 9, , 
2023/8/17, 26, 14, 43, 10, , 
2023/8/18, 25, 21, 39, 15, , 
2023/8/19, 43, 21, 45, 10, , 
2023/8/20, 62, 22, 40, 12, , 
2023/8/21, 42, 25, 52, 12, , 
2023/8/22, 59, 29, 55, 13, , 
2023/8/23, 60, 19, 38, 18, , 
2023/8/24, 46, 22, 36, 12, , 
2023/8/25, 51, 12, 32, 6, , 
2023/8/26, 31, 15, 29, 8, , 
2023/8/27, 24, 10, 26, 11, , 
2023/8/28, 23, 14, 25, 13, , 
2023/8/29, 39, 16, 35, 14, , 
2023/8/30, 44, 9, 31, 7, , 
2023/8/31, 24, 12, 28, 9, , 
2023/9/1, 24, 9, 23, 8, , 
2023/9/2, 16, 15, 32, 11, , 
2023/9/3, 43, 12, 39, 11, , 
2023/9/4, 27, 11, 39, 12, , 
2023/9/5, 26, 23, 35, 17, , 
2023/9/6, 44, 28, 57, 14, , 
2023/9/7, 27, 29, 53, 19, , 
2023/9/8, 60, 28, 61, 19, , 
2023/9/9, 65, 35, 68, 15, , 
2023/9/10, 75, 43, 57, 18, , 
2023/9/11, 68, 43, 66, 21, , 
2023/9/12, 71, 20, 54, 10, , 
2023/9/13, 38, 12, 24, 9, , 
2023/9/14, 16, 17, 29, 13, , 
2023/9/15, 22, 15, 39, 14, , 
2023/9/16, 40, 23, 36, 16, , 
2023/9/17, 68, 21, 26, 14, , 
2023/9/18, 47, 11, 29, 8, , 
2023/9/19, 26, 12, 31, 11, , 
2023/9/20, 8, 22, 27, 17, , 
